Food Code,Food Name,Group,Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg),,,,,,,,,,,,,,,,,,,,,,,
13-665,"Beans, haricot, canned, re-heated, drained",DB,0,0.07,,0.1,0.04,0.6,1.1,1.7,0.12,0,N,0.17,0.9,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-087,"Beans, haricot, whole, dried, boiled in unsalted water",DB,0,0.07,,0.1,0.04,0.6,1.1,1.7,0.12,0,N,0.17,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-086,"Beans, haricot, whole, dried, raw",DB,0,0.21,,0.45,0.13,2.5,3.4,5.9,0.56,0,N,0.7,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-099,"Beans, mung, dahl, dried, boiled in unsalted water",DB,0,N,,0.09,0.07,0.5,1.3,1.8,0.07,0,35,0.41,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-098,"Beans, mung, dahl, dried, raw",DB,0,N,,0.36,0.26,2.1,3.8,5.9,0.38,0,140,1.91,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-664,"Beans, mung, whole, dried, boiled in unsalted water",DB,0,0.67,,0.09,0.07,0.5,1.2,1.7,0.07,0,35,0.41,0.9,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-096,"Beans, mung, whole, dried, raw",DB,0,N,,0.36,0.26,2.1,3.8,5.9,0.38,0,140,1.91,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-100,"Beans, papri, raw",DB,0,N,,0.16,0.22,0.8,0.9,1.7,N,0,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
13-105,"Beans, pigeon peas, dahl, dried, boiled in unsalted water",DB,0,N,,0.15,0.04,0.7,0.7,1.4,N,0,25,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-104,"Beans, pigeon peas, dahl, dried, raw",DB,0,N,,0.86,0.13,2.3,1.7,4,N,0,100,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-103,"Beans, pigeon peas, whole, dried, boiled in unsalted water",DB,0,N,,0.15,0.04,0.7,0.7,1.4,N,0,25,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-102,"Beans, pigeon peas, whole, dried, raw",DB,0,N,,0.86,0.13,2.3,1.6,3.9,N,0,100,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-107,"Beans, pinto, dried, boiled in unsalted water",DB,0,N,,0.23,0.06,0.3,1.4,1.7,0.15,0,145,0.29,N,2,,,,,,,,,,,,,,,,,,,,,,,
13-106,"Beans, pinto, dried, raw",DB,0,N,,0.68,0.19,1.3,3.4,4.7,0.45,0,520,0.76,N,7,,,,,,,,,,,,,,,,,,,,,,,
13-108,"Beans, pinto, re-fried beans",DB,0,N,,0.05,0.05,0.5,1,1.5,N,0,N,N,N,6,,,,,,,,,,,,,,,,,,,,,,,
13-660,"Beans, red kidney, canned in water, re-heated, drained",DB,0,0.52,,0.1,0.03,0.7,1.6,2.3,0.07,0,45,0.15,0.5,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-659,"Beans, red kidney, dried, boiled in unsalted water",DB,0,0.52,,0.1,0.03,0.7,1.6,2.3,0.07,0,45,0.15,0.5,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-109,"Beans, red kidney, dried, raw",DB,0,0.52,,0.65,0.19,2.1,3.5,5.6,0.4,0,130,0.78,N,4,,,,,,,,,,,,,,,,,,,,,,,
13-654,"Beans, runner, boiled in unsalted water",DB,0,0.23,26,0.05,0.02,Tr,0.3,0.3,0.04,0,42,0.04,0.5,2,,,,,,,,,,,,,,,,,,,,,,,
13-112,"Beans, runner, raw",DB,0,0.23,26,0.06,0.03,Tr,0.4,0.4,0.08,0,60,0.05,0.7,18,,,,,,,,,,,,,,,,,,,,,,,
13-116,"Beans, soya, dried, boiled in unsalted water",DB,0,1.13,,0.12,0.09,0.5,2.2,2.7,0.23,0,54,0.18,25,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-115,"Beans, soya, dried, raw",DB,0,2.9,,0.61,0.27,2.2,5.7,7.9,0.38,0,370,0.79,65,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-117,"Beans, sword, raw",DB,0,N,,0.08,0.08,0.5,0.6,1.1,N,0,N,N,N,12,,,,,,,,,,,,,,,,,,,,,,,
13-580,"Beansprouts, mung, boiled in unsalted water",DB,0,N,,0.09,0.05,0.3,0.4,0.7,0.07,0,17,0.24,N,2,,,,,,,,,,,,,,,,,,,,,,,
13-426,"Beansprouts, mung, raw",DB,0,N,Tr,0.11,0.04,0.5,0.5,1,0.1,0,61,0.38,N,7,,,,,,,,,,,,,,,,,,,,,,,
13-567,"Beansprouts, mung, stir-fried in rapeseed oil",DB,0,N,6.4,0.06,0.02,0.3,0.3,0.6,0.07,0,43,0.23,N,7,,,,,,,,,,,,,,,,,,,,,,,
19-471,"Beef bourguignon, homemade",MR,0.4,0.77,,0.09,0.17,2.4,2.7,5.1,0.24,0.9,6,0.67,2.9,1,,,,,,,,,,,,,,,,,,,,,,,
19-548,"Beef bourguignonne, made with lean beef, homemade",MR,0.5,0.46,,0.09,0.17,2.7,2.8,5.5,0.27,0.9,7,0.63,3,1,,,,,,,,,,,,,,,,,,,,,,,
17-514,Beef extract,WY,0,N,,9.7,8.5,87,3,90,0.57,8,1300,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
19-588,"Beef olives, homemade",MR,0.3,0.34,1.29,0.14,0.09,2.8,2.7,5.5,0.27,0.8,6,0.4,0.9,0,,,,,,,,,,,,,,,,,,,,,,,
19-589,"Beef steak pudding, homemade",MR,0.2,0.33,,0.08,0.11,1.8,2.4,4.2,0.19,0.7,13,0.28,0.7,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-551,"Beef Stroganoff, homemade",MR,0.3,0.25,0.49,0.12,0.24,3,3.2,6.2,0.29,1.1,11,1,3,0,,,,,,,,,,,,,,,,,,,,,,,
19-552,"Beef Wellington, homemade",MR,0.4,N,2.26,0.08,0.22,2.7,3.4,6.1,0.27,1.9,14,0.6,3.2,N,,,,,,,,,,,,,,,,,,,,,,,
18-009,"Beef, braising steak, braised, lean and fat",MAC,0.7,0.03,,0.05,0.26,4.9,7.5,12.4,0.33,3,52,0.57,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-008,"Beef, braising steak, braised, lean only",MAC,0.8,0.02,,0.05,0.26,5.2,8,13.2,0.34,3,54,0.55,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-006,"Beef, braising steak, raw, lean",MAC,0.5,0.09,,0.07,0.28,4.2,4.6,8.8,0.45,2,50,0.61,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-007,"Beef, braising steak, raw, lean and fat",MAC,0.5,0.09,,0.07,0.27,3.9,4.3,8.2,0.42,2,53,0.59,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-010,"Beef, braising steak, slow cooked, lean",MAC,0.7,0.04,,0.04,0.2,3.5,7,10.5,0.28,3,49,0.4,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-011,"Beef, braising steak, slow cooked, lean and fat",MAC,0.5,0.04,,0.04,0.19,3.2,6.3,9.5,0.27,2,45,0.4,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-014,"Beef, brisket, boiled, lean",MAC,0.7,0.01,,0.04,0.22,4.3,7,11.3,0.19,3,14,0.5,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-015,"Beef, brisket, boiled, lean and fat",MAC,0.6,0.02,,0.04,0.2,3.7,6,9.7,0.19,2,15,0.49,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-012,"Beef, brisket, raw, lean",MAC,0.5,0.14,,0.09,0.24,4.9,4.4,9.3,0.51,2,14,0.71,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-013,"Beef, brisket, raw, lean and fat",MAC,0.4,0.12,,0.08,0.21,4,3.7,7.7,0.43,2,14,0.63,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-005,"Beef, fat, average, cooked",MAC,Tr,0.08,,0.05,0.18,1.6,1.8,3.4,0.23,2,26,0.6,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-003,"Beef, fat, average, raw",MAC,Tr,0.06,,0.04,0.13,1.2,1.7,2.9,0.17,1,18,0.43,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-004,"Beef, fat, average, raw, extra trimmed",MAC,N,N,,N,N,N,N,N,N,N,N,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
18-018,"Beef, fillet steak, fried in corn oil, lean",MAC,0.6,N,,0.12,0.25,6.2,6.3,12.5,0.59,2,16,0.83,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-019,"Beef, fillet steak, fried in corn oil, lean and fat",MAC,0.6,N,,0.12,0.25,6.1,6.2,12.3,0.58,2,17,0.83,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-022,"Beef, fillet steak, from steakhouse, lean",MAC,0.7,0.08,,0.14,0.31,5.7,7.1,12.8,0.81,2,8,1.28,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-023,"Beef, fillet steak, from steakhouse, lean and fat",MAC,0.6,0.08,,0.14,0.31,5.6,6.9,12.5,0.8,2,9,1.27,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-020,"Beef, fillet steak, grilled, lean",MAC,0.7,0.06,,0.12,0.26,6.4,6.5,12.9,0.61,2,17,0.85,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-021,"Beef, fillet steak, grilled, lean and fat",MAC,0.6,0.06,,0.12,0.26,6.3,6.4,12.7,0.6,2,17,0.84,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-016,"Beef, fillet steak, raw, lean",MAC,0.5,0.12,,0.14,0.28,4.7,4.5,12.2,0.47,2,10,1.05,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-017,"Beef, fillet steak, raw, lean and fat",MAC,0.4,0.12,,0.13,0.28,4.6,4.3,8.9,0.46,2,11,1.02,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-026,"Beef, flank, pot-roasted, lean",MAC,0.7,0.04,,0.04,0.19,3,7.1,10.1,0.23,3,16,0.48,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-027,"Beef, flank, pot-roasted, lean and fat",MAC,0.5,0.06,,0.04,0.18,2.6,6.1,8.7,0.22,2,17,0.48,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-024,"Beef, flank, raw, lean",MAC,0.5,0.15,,0.1,0.25,5.3,4.8,10.1,0.54,2,16,0.77,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-025,"Beef, flank, raw, lean and fat",MAC,0.4,0.13,,0.09,0.22,4.3,3.9,8.2,0.45,2,16,0.68,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-030,"Beef, fore-rib/rib-roast, microwaved, lean",MAC,0.8,0.01,,0.05,0.26,4.8,7.9,12.7,0.34,3,14,0.49,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-031,"Beef, fore-rib/rib-roast, microwaved, lean and fat",MAC,0.6,0.02,,0.05,0.24,4.1,6.4,10.5,0.31,3,16,0.51,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-032,"Beef, fore-rib/rib-roast, microwaved, lean and fat, weighed with bone",MAC,0.5,0.02,,0.04,0.2,3.4,5.3,8.7,0.26,2,13,0.42,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-028,"Beef, fore-rib/rib-roast, raw, lean",MAC,0.5,0.14,,0.1,0.24,5.1,4.6,9.7,0.52,2,15,0.74,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-029,"Beef, fore-rib/rib-roast, raw, lean and fat",MAC,0.4,0.12,,0.09,0.21,4.1,5.3,9.4,0.43,2,16,0.66,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-033,"Beef, fore-rib/rib-roast, roasted, lean",MAC,0.8,0.22,,0.06,0.16,5.3,7.5,12.8,0.4,3,18,0.53,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-034,"Beef, fore-rib/rib-roast, roasted, lean and fat",MAC,0.6,0.19,,0.06,0.17,4.5,6.1,10.6,0.36,3,19,0.54,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-035,"Beef, fore-rib/rib-roast, roasted, lean and fat, weighed with bone",MAC,0.5,0.16,,0.05,0.14,3.8,5.1,8.9,0.3,2,16,0.45,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-468,"Beef, lean, average, raw",MAC,0.5,0.13,,0.1,0.21,5,4.7,9.7,0.53,2,19,0.75,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-002,"Beef, lean, average, raw, extra trimmed",MAC,N,N,,N,N,N,N,N,N,N,N,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
18-042,"Beef, mince patties, barbecued",MAC,0.7,0.09,,0.06,0.26,8.7,5.4,14.1,0.42,3,18,0.72,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-507,"Beef, mince, extra lean, stewed",MAC,0.6,0.3,,0.03,0.13,4.8,4.5,9.3,0.16,3,20,0.36,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-039,"Beef, mince, frozen, stewed",MAC,0.4,0.31,,0.05,0.19,3,3.5,6.5,0.13,2,30,0.41,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-037,"Beef, mince, microwaved",MAC,0.6,0.31,,0.08,0.31,8,4.3,12.3,0.38,3,17,0.53,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-469,"Beef, mince, raw",MAC,0.7,0.17,,0.06,0.13,5.8,3.6,9.4,0.37,2,14,0.49,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-508,"Beef, mince, raw, extra lean",MAC,0.5,0.18,,0.07,0.15,6.4,4,10.4,0.42,2,16,0.55,1,0,,,,,,,,,,,,,,,,,,,,,,,
19-607,"Beef, mince, stewed",MR,0.4,0.39,,0.04,0.06,2.5,2,4.5,0.17,0.8,5,0.22,0.6,0,,,,,,,,,,,,,,,,,,,,,,,
18-470,"Beef, mince, stewed",MAC,0.8,0.34,7.18,0.03,0.19,4.6,4.4,9,0.28,2,17,0.36,5,0,,,,,,,,,,,,,,,,,,,,,,,
19-606,"Beef, mince, with vegetables, stewed",MR,0.3,0.16,,0.06,0.05,2.2,1.7,3.4,0.18,1,6,0.22,0.6,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-664,"Beef, minced, stewed with onions, extra lean",MR,0.3,0.39,,0.04,0.06,2.8,2.2,5,0.19,0.8,5,0.24,0.6,Tr,,,,,,,,,,,,,,,,,,,,,,,
18-045,"Beef, rump steak, barbecued, lean",MAC,0.7,0.2,,0.15,0.32,6.8,7,13.8,0.36,3,10,0.78,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-046,"Beef, rump steak, barbecued, lean and fat",MAC,0.6,0.19,,0.14,0.31,6.3,6.5,12.8,0.34,2,11,0.75,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-472,"Beef, rump steak, fried in corn oil, lean and fat",MAC,0.6,N,,0.13,0.27,5.3,6,11.3,0.57,2,5,0.7,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-473,"Beef, rump steak, fried in corn oil, lean only",MAC,0.7,0.18,,0.14,0.29,5.9,6.7,12.6,0.63,2,5,0.74,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-051,"Beef, rump steak, from steakhouse, lean and fat",MAC,0.6,N,,0.12,0.25,5.7,5.9,11.6,0.57,2,18,0.83,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-050,"Beef, rump steak, from steakhouse, lean only",MAC,0.7,N,,0.13,0.27,6.5,6.7,13.2,0.63,2,17,0.88,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-474,"Beef, rump steak, grilled, lean only",MAC,0.4,0.07,,0.13,0.28,6.8,7,13.8,0.65,3,5,0.91,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-043,"Beef, rump steak, raw, lean",MAC,0.5,0.05,,0.1,0.25,5.4,4.9,10.3,0.66,2,16,0.67,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-471,"Beef, rump steak, raw, lean and fat",MAC,0.4,0.04,0.8,0.09,0.23,4.9,4.5,9.4,0.61,2,5,0.65,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-052,"Beef, rump steak, strips, stir-fried in corn oil, lean",MAC,0.7,0.06,,0.21,0.3,6.8,7.2,14,0.73,3,5,0.94,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-053,"Beef, rump steak, strips, stir-fried in corn oil, lean and fat",MAC,0.6,N,,0.19,0.28,6.1,6.4,12.5,0.66,2,7,0.88,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-056,"Beef, silverside, pot-roasted, lean",MAC,0.8,0.05,,0.17,0.26,5,7.4,12.4,0.33,2,7,0.43,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-057,"Beef, silverside, pot-roasted, lean and fat",MAC,0.6,0.05,,0.15,0.24,4.5,6.5,11,0.31,2,9,0.45,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-054,"Beef, silverside, raw, lean",MAC,0.5,0.15,,0.1,0.27,5.6,5,10.6,0.57,2,16,0.81,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-055,"Beef, silverside, raw, lean and fat",MAC,0.4,0.13,,0.09,0.23,4.6,4.1,8.7,0.48,2,15,0.7,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-060,"Beef, silverside, salted, boiled, lean",MAC,0.7,0.1,,0.05,0.27,2.6,6.8,9.4,0.39,2,12,0.4,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-061,"Beef, silverside, salted, boiled, lean and fat",MAC,0.6,0.09,,0.05,0.25,2.4,6.1,8.5,0.36,2,12,0.4,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-058,"Beef, silverside, salted, raw, lean",MAC,0.4,0.12,,0.08,0.21,4.5,4,8.5,0.46,2,13,0.65,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-059,"Beef, silverside, salted, raw, lean and fat",MAC,0.3,0.1,,0.07,0.18,3.7,3.3,7,0.38,2,12,0.56,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-062,"Beef, sirloin joint, roasted, lean",MAC,0.7,0.02,,0.13,0.28,4.7,7.3,12,0.58,3,7,0.41,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-063,"Beef, sirloin joint, roasted, lean and fat",MAC,0.6,0.03,,0.12,0.27,4.2,6.3,10.5,0.52,3,11,0.45,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-066,"Beef, sirloin steak, fried in corn oil, lean",MAC,0.7,N,,0.12,0.26,6.3,6.5,12.8,0.6,2,17,0.85,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-067,"Beef, sirloin steak, fried in corn oil, lean and fat",MAC,0.5,N,,0.11,0.25,5.5,5.6,11.1,0.54,2,19,0.82,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-074,"Beef, sirloin steak, from steakhouse, lean",MAC,0.7,N,,0.13,0.28,6.9,7.1,14,0.66,3,18,0.93,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-075,"Beef, sirloin steak, from steakhouse, lean and fat",MAC,0.6,N,,0.12,0.27,6.2,6.3,12.5,0.6,2,20,0.9,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-070,"Beef, sirloin steak, grilled medium-rare, lean",MAC,0.5,0.02,,0.07,0.16,6.9,5.7,12.6,0.58,2,14,0.64,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-071,"Beef, sirloin steak, grilled medium-rare, lean and fat",MAC,0.4,0.03,,0.07,0.16,6.1,5.1,11.2,0.53,2,15,0.62,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-068,"Beef, sirloin steak, grilled rare, lean",MAC,0.6,0.06,,0.11,0.24,5.8,5.9,11.7,0.55,2,15,0.78,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-069,"Beef, sirloin steak, grilled rare, lean and fat",MAC,0.5,0.07,,0.1,0.24,5.2,5.2,10.4,0.5,2,18,0.77,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-072,"Beef, sirloin steak, grilled well-done, lean",MAC,0.8,0.08,,0.15,0.31,7.4,7.6,15,0.71,3,20,1,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-073,"Beef, sirloin steak, grilled well-done, lean and fat",MAC,0.7,0.08,,0.14,0.3,6.7,6.8,13.7,0.65,3,21,0.96,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-064,"Beef, sirloin steak, raw, lean",MAC,0.5,0.15,,0.1,0.26,5.5,4.9,10.4,0.56,2,16,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-065,"Beef, sirloin steak, raw, lean and fat",MAC,0.4,0.14,,0.09,0.24,4.7,4.2,8.9,0.49,2,17,0.75,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-082,"Beef, stewing steak, frozen, stewed, lean",MAC,0.7,0.08,,0.03,0.21,3.4,6.7,10.1,0.15,2,12,0.72,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-083,"Beef, stewing steak, frozen, stewed, lean and fat",MAC,0.6,0.08,,0.03,0.19,3.1,5.8,8.9,0.15,2,13,0.67,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-078,"Beef, stewing steak, pressure cooked, lean",MAC,0.8,0.07,,0.03,0.19,3.3,7.9,11.2,0.28,3,N,0.42,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-079,"Beef, stewing steak, pressure cooked, lean and fat",MAC,0.7,0.08,,0.04,0.2,3.2,7.3,10.5,0.29,3,N,0.48,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-076,"Beef, stewing steak, raw, lean",MAC,0.8,0.2,,0.07,0.27,4.2,4.5,8.7,0.45,2,5,0.65,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-077,"Beef, stewing steak, raw, lean and fat",MAC,0.7,0.2,,0.07,0.26,4,4.3,8.3,0.42,2,6,0.65,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-080,"Beef, stewing steak, stewed, lean",MAC,0.7,0.19,,0.02,0.15,2.6,7.2,9.8,0.23,3,8,0.31,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-081,"Beef, stewing steak, stewed, lean and fat",MAC,0.6,0.17,,0.03,0.15,2.4,6.2,8.6,0.23,2,11,0.3,2,0,,,,,,,,,,,,,,,,,,,,,,,
19-530,"Beef, stir-fried with green peppers, homemade",MR,0.2,1.54,,0.05,0.11,2.3,2.6,4.9,0.38,0.9,11,0.32,N,38,,,,,,,,,,,,,,,,,,,,,,,
18-086,"Beef, topside, microwaved, lean",MAC,0.8,0.05,,0.05,0.3,4.4,7.9,12.3,0.42,3,67,0.49,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-087,"Beef, topside, microwaved, lean and fat",MAC,0.7,0.05,,0.05,0.28,4,7.1,11.1,0.39,3,61,0.47,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-084,"Beef, topside, raw, lean",MAC,0.5,0.15,,0.09,0.19,5.3,5,10.3,0.55,2,24,0.66,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-085,"Beef, topside, raw, lean and fat",MAC,0.4,0.13,,0.08,0.17,4.6,4.3,8.9,0.48,2,22,0.59,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-088,"Beef, topside, roasted medium-rare, lean",MAC,0.4,0.04,,0.06,0.32,5.4,6.6,12,0.54,2,14,0.55,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-089,"Beef, topside, roasted medium-rare, lean and fat",MAC,0.4,0.05,,0.06,0.3,4.9,5.9,10.8,0.5,2,15,0.55,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-090,"Beef, topside, roasted well-done, lean",MAC,0.8,0.08,0.19,0.09,0.29,5.8,8.1,13.9,0.56,3,21,0.6,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-091,"Beef, topside, roasted well-done, lean and fat",MAC,0.7,0.08,,0.08,0.27,5.2,7.2,12.4,0.51,3,20,0.56,2,0,,,,,,,,,,,,,,,,,,,,,,,
17-506,"Beer, bitter, average (<4% ABV)",QA,0,N,Tr,Tr,0.03,0.2,0.2,0.4,0.07,Tr,5,0.05,1,0,,,,,,,,,,,,,,,,,,,,,,,
17-208,"Beer, bitter, best, premium",QA,0,N,,Tr,0.04,0.8,0.2,1,0.09,Tr,8,0.07,1,0,,,,,,,,,,,,,,,,,,,,,,,
17-748,"Beer, bitter, strong (>5% ABV)",QA,0,N,,Tr,0.04,0.8,0.2,1,0.09,Tr,8,0.07,1,0,,,,,,,,,,,,,,,,,,,,,,,
13-633,"Beetroot, cooked in unsalted water",DG,0,Tr,,Tr,Tr,0.2,0.2,0.4,0.06,0,90,0.17,Tr,1,,,,,,,,,,,,,,,,,,,,,,,
13-166,"Beetroot, pickled, drained",DG,0,Tr,,0.02,0.03,0.1,0.2,0.3,0.04,0,2,0.1,Tr,N,,,,,,,,,,,,,,,,,,,,,,,
13-164,"Beetroot, raw",DG,0,Tr,,0.01,0.01,0.1,0.3,0.4,0.03,0,150,0.12,Tr,5,,,,,,,,,,,,,,,,,,,,,,,
16-003,"Bele, raw",JA,Tr,N,,N,N,0.3,2.1,2.4,N,2,N,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-807,"Betel leaves, fresh",H,0,N,,0.15,0.25,0.7,N,N,N,0,N,N,N,3,,,,,,,,,,,,,,,,,,,,,,,
14-806,Betel nuts,GA,0,N,,0.19,0.52,1.1,N,N,N,0,N,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-669,"Bhaji, aubergine and potato, homemade",DR,0,2.08,11.6,0.14,0.02,0.4,0.4,0.8,0.11,0,8,0.21,N,5,,,,,,,,,,,,,,,,,,,,,,,
15-670,"Bhaji, aubergine, pea, potato and cauliflower, homemade",DR,0,0.47,,0.18,0.04,0.7,0.5,1.2,0.11,0,19,0.35,N,13,,,,,,,,,,,,,,,,,,,,,,,
15-672,"Bhaji, cabbage and pea, with butter ghee, homemade",DR,0.1,1.03,,0.32,0.05,1,0.6,1,0.14,Tr,22,0.21,0.6,17,,,,,,,,,,,,,,,,,,,,,,,
15-673,"Bhaji, cabbage and pea, with rapeseed oil, homemade",DR,0,3.35,,0.32,0.05,1,0.6,1.7,0.14,0,22,0.21,0.6,17,,,,,,,,,,,,,,,,,,,,,,,
15-674,"Bhaji, cabbage and potato, with butter, homemade",DR,0.1,0.3,,0.26,0.04,0.5,0.4,0.5,0.14,0,21,0.33,0.4,23,,,,,,,,,,,,,,,,,,,,,,,
15-397,"Bhaji, cabbage and potato, with rapeseed oil, homemade",DR,0,N,,0.16,0.02,0.6,0.4,1,0.23,0,36,0.23,0.4,23,,,,,,,,,,,,,,,,,,,,,,,
15-675,"Bhaji, cabbage and potato, with vegetable oil",DR,0,1.64,,0.26,0.03,0.5,0.4,0.5,0.14,0,21,0.33,0.4,23,,,,,,,,,,,,,,,,,,,,,,,
15-016,"Bhaji, cabbage and spinach",DR,0,4.88,,0.12,0.05,0.8,0.7,1.5,0.18,0,54,0.27,0.2,18,,,,,,,,,,,,,,,,,,,,,,,
15-671,"Bhaji, cabbage, homemade",DR,0,1.1,,0.28,0.04,0.6,0.4,1.1,0.15,0,23,0.28,0.3,32,,,,,,,,,,,,,,,,,,,,,,,
15-676,"Bhaji, carrot, potato and pea, with butter, homemade",DR,0.1,0.33,,0.21,0.03,0.6,0.4,0.6,0.1,0,11,0.26,0.6,6,,,,,,,,,,,,,,,,,,,,,,,
